review,tag_arr
"thinking lightening (and back luck) couldn't possibly strike twice, i returned to mcdonald's in summerlin to place a small order (not 10 mcmuffins as the morning before) for me & the posse who got called into work on a sunday. ξthis time i opt to go thru the drive-thru coz nobody's in line. ξwow, it's looking good... or so i thought. ξpaid for my simple order at the 1st window, then waited 10 more minutes behind the only car at the pickup window (here we go, am i gonna be later for work again with only 1 car in front of me? WTF????). Cars were honking ferociously behind me. now i'm blocked in. ξlow and behold when i move up, i recognize the guy handing me my food as one of the mcdonald's workers who stepped over my pile of food in slow-motion matrix effect yesterday morning. ξughhh! ξguess they're probably hiring at this fast food establishment and will take any dreggs off the street who either has a pulse or a trust fund, so what's the hurry? ξGave them a 2nd chance, learned my lesson, won't ever go back. ξAs an aside, took the time to e-mail mcdonalds and got the proverbial party line response, i.e. we pride ourselves on blah blah blah. i normally believe in redemption but not from this place.","[0, 0, 0, '1', 0, 0, 0, 0]"
"I don't know what the deal is with this location, but they are ridiculously slow! Even if my order is a pre made salad and iced coffee and there is no one else in the drive-thru lane, it still takes forever!","[0, 0, 0, '1', 0, 0, 0, 0]"
"This is the worst McDonald's I have ever visited. ξWe sat at the drive-thru window forever watching the employees goof off. ξThe fish sandwich was edible in a square processed fish, round bun, too much tartar sauce sort of way. ξThe french fries were horrible. ξThey were not edible. ξThey were stale and greasy.Just because someone is holding a broom does not mean that they are sweeping. ξThe broom is a prop to make people think they are working while they are socializing with co-workers. ξThey will look at you occasionally while they continue to goof off. ξThe employees seem to go out of their way to prove that you aren't worth their time. ξThis McDonald's really sucks.","['1.0', 0, 0, 0, '1.0', 0, 0, 0]"
"Why do I keep falling into this hellhole?!4 times, yes, 4, the most I chances I have given a place...either they:a) Are out of whatever you want.b) Have bad attitudes.c) Give you cold food.d) Give you melted down frozen strawberry lemonade that looks like puke, I should have taken a picture so that you would know I am not making it up.I am going to yell now, ready? STAY AWAY FROM THIS PLACE!!!","['0.6607', 0, 0, 0, '1.0', 0, 0, 0]"
Do I have to give them 1 star you all should consider this a negative star.Absolutely the worst fast food service I've ever experienced.Every order I've gotten has been in some way or the other wrong.i check every order but I'm not opening boxes n unwrapping sandwiches.Today I ordered an egg n cheese Mc muffin got em home n they put ham on em.the worst one was couple of months back they had those wings n I ordered them n sat at window for 7 min been in line for 10 then Mgr asks me to pull up to wait in s designated space .I'm just sitting there before I realize I've been there another 10 min and there are no cars in line. I drove over to front door went in an there's the Mgr sitting at a dinning room table eating.i asked her where my food was that I've been waiting for 15 minutes outside.i was so mad I just took my food n left.2 months later stupid me went back for another screw up.Buy the way this Mgr is on duty 90 percent of time I go there.I was a Mgr for 20 years in fast food n sit down I wouldn't hire this lady as a cashier,"['1.0', '0.6699', 0, '1.0', 0, 0, 0, 0]"
"Close this shithole down. You know that there's always a morning rush and they're constantly understaffed. The actually staff that's there move like sloths even when the line is at the door. I stood at the back of the line this morning watching one of two cashiers watch the milk drip from the machine instead of taking the next order. It shouldn't take 5 minutes to complete a transaction at the register for a McDonald's breakfast.What's more, all I wanted was an iced coffee. They didn't have any, which would have been nice to know, but failed to inform me that so they just gave me a hot coffee - skim, no sugar... 10 minutes after I ordered because they also ran out of hot coffee. It basically took almost 20 minutes for me to get a coffee at McDonald's at 9am on a weekday. If your restaurant and your incompetent staff can't handle serving coffee, then just give up.","['0.6545', 0, 0, '0.6509', 0, 0, 0, 0]"
"This is the only McDonald's near my work and probably for everyone else unless you you drive south into DT Portland or go across the bridge. Tried to give this place a chance after a couple of screw ups but I just can't do it anymore. And here's why.One, look at the storefront photo. I uploaded that photo here at the time of this review but it was originally taken early in the year (mainly because I had another bad experience and I need to tell everyone not to come here any more because they suck.)So the first time, as the photo shows, a dead small black fly on the lettuce in my Classic Crispy Chicken Sandwich. I usually order it without mayo and when I got my sandwich the 1st time, guess what? It had mayo. I just don't get why they can't read instructions properly or anything. Why can't the condiment be separate and not default? It's so frustrating. Any way, 2nd time I got the sandwich, they ""got it right"" except for the fly part. I already went in my car so I said ""F it"" so I just took the picture as proof and then ripped the contaminated area on the lettuce.I didn't go to this location for awhile after this incident, but I was craving Chicken McNuggets and so since it isn't a fresh produce item or whatever, I decided it wouldn't be a big deal. Boy was I wrong. I think this might have happened twice but I counted my nuggets and it was missing 1 in the 10 or 20 piece meal. I shouldn't have to count how many nuggets I have, but sadly these people can't do their job. I don't even get much time to eat lunch so I didn't have time to go back and complain. I'm done with this location any way so if I'm craving a sandwich or Chicken McNuggets from here, I'll just drive across the bridge and go there because it probably isn't crap like this location. They know they are serving a ton of people since they are the only location but they just do such a bad job. The fries are a bit overpriced too and some other things in case any of you were thinking you can get a decent deal on Large Fries. The best place for that would be the Beaverton location near Uwajimaya off highway 10 (I think that's it.)Conclusion: If you crave McDonalds, don 't go to this location unless you want dead flies in ξyour burgers/sandwiches or missing Chicken McNuggets.","[0, '1.0', 0, 0, 0, 0, 0, '0.7223']"
"Never been upset about any fast food drive thru service till I came to this McDonalds.After a long trip from California my wife and I went to McDonalds for a quick bite to eat before our drive back home. We pull up to the drive thru but there are a lot of cars waiting to order. We were guessing there must be a lot demand for McDonalds at this late hour. So we wait about 5 - 10 minutes for our turn to order. We order the specials they were having at that time (20 pcs chicken nuggets for $5) and asked for a cup of water because we didn't want to drink any sodas at that late hour. They take our order but tells us they don't serve cups of water there. So we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order. However, we wait for almost another 10 min to finally pay at the first window - then another 5 more min to finally receive our food. By far the worst McDonalds in the world. Unfriendly and slow.","['1.0', 0, 0, '1.0', 0, 0, '0.6667', 0]"
"Management is very rude here, I bring my son every now and then to play ξand have witnessed on several occasions the manager who is a female was extremley rude. I was shocked at her behavior. I still go there because its close to my house.","['1', 0, 0, 0, 0, 0, 0, 0]"
This is the worst Mcdonalds ever. Don't ever go to this one. Horrible service with one cashier and like two people making food in the back. The manager is often yelling at workers AND at customers. Super cheap with ketchup.. sauce etc. If you want Micky D's walk a few blocks to the canal street one,"['1', 0, 0, 0, 0, 0, 0, 0]"
"It's mcdonalds for F@&S sake. It is what it is. The food sucks but it is usually microwaved or fried within a (debatable) somewhat reasonable amt. of time. Staff are usually genuinely unhappy, but nice none the less.","[0, 0, 0, 0, '1', 0, 0, 0]"
"Horrible! Saw weed in the bathroom stall... Makes sense as the employees always get my order wrong so they're probably ξblitzed. Lol funny but trueThey charged me for a salad when I ordered a burger and then took 8 minutes to realize they could just give me cash back because they couldn't refund a card... Y.. IdkBe prepared to wait forever, check your order before u leave, the only reason they get 1 star is the morning staff... They're decent","['0.6591', '1.0', '1.0', '0.6818', 0, 0, 0, 0]"
Employees look like they hate their job. Milkshake was like drinking milk. Food was cold and not warm at all.,"['1.0', 0, 0, 0, '1.0', 0, 0, 0]"
"This is a McDonald's Express, so it sadly doesn't have the entire menu at all times. ξIt reminds me that advertisements often include ""participation and availability may vary by location"" notices - this would be one of those cases. ξFortunately, the smaller menu means fewer different things for their cooks to remember how to prepare or distract them from these key menu items.Over half of the times I've been in here, no matter how busy, I've had my food handed to me in less than 2 minutes from paying for it. ξThat's Express, people!The only thing that drags this place down is the atmosphere. ξthe counter is tiny and only holds two registers, so at any busy point in time, the line of people engulfs the only walking space and makes its way to the door, and sometimes extends OUT the door, though I've only seen that during dinner times as I've passed by on my way home from Unique or something.The soda machine has once or twice been low on syrup, yielding a nasty beverage - but it's outside the counter, so you can refill it with something else on your own. ξThe tables for sitting are VERY close together, meaning it's difficult to eat your food in peace at this location without being bothered by someone's family issues or rampant children. ξIt can get very loud here.But all in all, if you're stopping in for something to go, this is a great place for that. ξJust make sure to check that what you want is on their smaller menu, and take note that sometimes the sales regular McDonald's can have on menu items doesn't necessarily apply here. ξSo pay attention, and then you can enjoy your McDonald's food.And you'll enjoy it better at home instead of sitting in cramped quarters with rambunctious broodlings.","[0, 0, 0, '0.676', '0.676', 0, '0.6529', 0]"
"Rude! Rude! Rude! ξMany of the people who work here are pleasant, but the management of this restaurant is just rude. ξMy car was damaged by one of the cashiers opening the drive thru window without looking and the manager repeatedly tried to accuse me of driving too close. ξI have been a Micky D's manager before and what you are supposed to so is 1) apologize, 2) get information from the customer, 3) forward to your insurance carrier and 4) apologize again. ξNone of this happened until I called the district manager. ξThis McDonalds or any others in the franchise will never see my business again.","['1', 0, 0, 0, 0, 0, 0, 0]"
Never get your order right. ξ And most of the time its because I pull up to the window and the woman is joking around with other people that work there. ξ Hmm. ξ ξI wonder why my order was taken wrong.,"[0, '1', 0, 0, 0, 0, 0, 0]"
"I'm sorry to agree with everybody's comment here, it's by far the worst drive thru experience I've ever had in my entire McDonald fan!! ξ I ordered choc chip frappe and 2apple pie; when I got to the window to pick up my order (which took 35mins) I was asked if it is ok to not have a choc chip in it because they ran out? ξWhat?Really?They should have said that 30mins ago so I could have left and not waste time waiting for me paying full price for half service?? You joking right?If there's zero negative star on here, they'll get it!","[0, '1.0', 0, '1.0', 0, 0, '1.0', 0]"
"Never thought I'd write a review about a McDonald's, but I feel compelled. ξThis one was just re-built, replacing a perfectly servicable old one. ξWhatever, it's their money.My problem with the new one is that its parking lot configuration and ease of ingress/egress is even more stupid than the old one, if that's possible. ξYou see, if you're coming from the east, entrance into the lot, either via entrances on North Avenue or Lowell (one way north), is no problem. ξIf you're coming from the west on North Avenue (or from the south on Kostner), you literally cannot enter the parking lot. ξAt all. I thought by turning left onto Kostner (a fairly main-drag kind of street), I could enter (as you could with the old one). ξNope. ξNo entrance any more on Kostner. ξAnd you cannot turn left from North Avenue to Lowell because there's a median (I think: either way, you're risking an accident or a ticket). ξThere's an alley directly behind the lot, which is not only fenced off from Mickey D's, but 'one way' going out. ξSo I drive AROUND THE BLOCK, past Lowell (the one-way street next to McDonald's), to Kildare, back to North Avenue, then enter. ξJesus. ξThe entrance has one of those divided-curb thingys, which was barely wide enough for my compact car. ξThere are TWO drive-thru lanes from which to order food, but then they merge into one waiting line, so you can end up in this single line ahead of someone who's been waiting longer, or vice-versa, so why bother? ξThe rest was standard McDonald's (WHY can't you at least offer me salsa for my breakfast burrito?)....I got no sauce, no ketchup, no napkins, nuthin'.OK, then to get out and go back east on North Avenue, you must basically repeat the maze-bullshit from above, only in the reverse. ξYou used to be able to exit onto Kostner, then turn left on North Avenue. ξNow you are forced to either go west on Grand or North Avenue or go to Lowell, north ξto Wabansia (past a high school) to Kildare to North Avenue. ξGot all that? ξApparently the city thinks it's more desirable for us to drive around an entire neighborhood than to use the only (inexplicably) one-way alley in the entire neighborhood to get home from fucking McDonald's. ξI felt like rat in a ghetto-maze, only with a soon-to-be-cold Egg McMuffin.So in a nutshell, if you live west of here, you can't get in. ξIf you live east of here, you can't get out. ξAnd ya can't really go north, either. ξIt's maddening. ξIf you must go to THIS McDonald's, walk or take the bus, seriously. ξFrom my house (at the halfway point between the two), I will just go down to the one at Kedzie/North. ξI realize McDonald's and/or the city are trying to protect themselves from lawsuits from our shitty driving, and that badly designed intersection, but if it's that dangerous (which it is) then just DON'T BUILD IT THERE. ξIt's a square lot, yet needlessly complicated. ξGrrr.","[0, '0.6667', 0, 0, 0, 0, 0, 0]"
I literally left this location because of the screwy parking lot. I just gave up and went to another McDonalds on the way to where I was going.,"[0, 0, 0, 0, 0, '1', 0, 0]"
"Well, we all know the quality of food at your standard mcdonalds, and this one is no different.THe only things of note about this Mickey D's are 1. it is open 24 hours a day, which is a very convenient thing when it comes to late night food runs. 2. It must be the slowest mcdonalds ever. I cannot tell you how many times I have sat in that drive thru for upwards of 15 minutes. Even at its fastest, it is still super slow.","[0, 0, 0, '1', 0, 0, 0, 0]"
Drive thru SUCKS here!!!! This is the 3rd time they messed up my order and there sooooo freakin slow! They have no since of urgency.,"[0, '0.6667', 0, '1.0', 0, 0, 0, 0]"
Dirty and super ghetto. Though you probably figured that out as you drove by.,"[0, 0, '1', 0, 0, 0, 0, 0]"
I use McDonalds more times and everything be good. But when I use this MC it's be worst than ever. Waiting around 20 min but it's not a big problem. Big problem is a bad food ! Never ξcome again !!!,"[0, 0, 0, 0, '1', 0, 0, 0]"
