,tag,tag_conf,city,review,RudeService,OrderProblem,Filthy,SlowService,BadFood,ScaryMcDs,MissingFood,Cost,na,BinaryLabel,topic,Most_Likely_Topic,Most_Likely_Topic_Names
25,"['Filthy', 'BadFood']","['1.0', '0.7037']",Atlanta,think location deserve even one star filthy mcdonalds ever visited hundreds different mcdonalds numerous state well foreign countries go location breakfast first thing notice floor sticky previous reviewer make similar comment play area notice say right look place sit spot debris seat crevices floor fly din area repeatedly brush food food seem ok except first time ever give cold syrup hotcakes mcdonalds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,00101000,12,12,mcdonalds time always
26,"['SlowService', 'RudeService']","['1.0', '1.0']",Atlanta,one rude mcdonalds food take long prepare macdonalds ever people work always seem annoy like bother avoid mc whenever,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10010000,1,12,mcdonalds time always
27,['SlowService'],['0.6416'],Atlanta,managers mcdonalds awesome workers lazy overall average mcdonalds visit realize one really average thing good one management awesome across street house sit around study till midnight one bother,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,11,7,one north avenue
28,"['SlowService', 'BadFood']","['1.0', '0.6523']",Atlanta,since stop particular one total remodel look fairly fresh stopped go drive thru think would try new mcwrap got fry spicy chick along ask pull sit window minutes would bring order fine except minutes late still waiting go check go end wait another minutes appear one long wait drive thru well mcwrap disappointed looked like wrap grill chicken sprinkle mix greens sweet sour sauce dump,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,00011000,9,3,wait minutes line
29,['RudeService'],['0.7226'],Atlanta,disorganized even get order employees hang friends front,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,9,5,get right work
30,"['RudeService', 'OrderProblem', 'BadFood', 'Filthy']","['1.0', '1.0', '1.0', '0.6667']",Atlanta,mcdonalds horrible street house might want go next mcdonald street less half mile maybe brand new opened review speak customer service whatsoever always rush drive thru never get meal correct ignorant fuck speak proper english even know english even give time respond order completion din inside fine however dirty around occasions time eat meal always incorrect always ridiculous find ongoing problem especially store fry always pre sort hot miss really good really bad really annoying sandwich sometimes put fresh drip meat bun make soggy disgusting time sandwich plain incorrect call corporate poor customer service employees several managers location well constant issue order mess inconvenient drive thru tell go next mcdonald employees hate job idiots,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11101000,7,11,service bad customer
31,"['RudeService', 'OrderProblem', 'BadFood']","['0.6585', '0.6585', '0.6585']",Atlanta,nut bolts stop way work grab breakfast get sam club gas pros convenient location right fast service cons sausage biscuit sub par biscuit overcook hard sausage cook enough give one jelly packet place give least two forgot give straw sweet tea sweet tea sweet enough gave napkins neutral line paying woman pull next complain cashier something wrong order jump front get order fixed neutral since details take home try one time fail pass,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11001000,4,5,get right work
32,['MissingFood'],['0.7084'],Atlanta,ice cream machine always p want hot fudge sundae even bother,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00000010,5,10,coffee burn ice
33,"['RudeService', 'BadFood', 'Filthy', 'SlowService']","['1.0', '1.0', '0.7084', '0.6289']",Atlanta,toxic dump food quality employee humanity work efforttypically eat mcdonalds food yet similar experience others trapped northside hospital option hungry outside hospital cafeteria hours operation due relatives stay visits overnights weeks find trapped therefore force buy mcdonalds mostly visit coffee ice cream sundaes however last night first time order food grilled chicken salad return meat smell badly surprise enforce resolve avoid chain food restaurants surprise absolutely shock customer service offer employees world employee one minute even second acknowledge obvious fact work inside hospital consider mean every person approach counter order see fact easily dismiss beyond comprehension understand lose sense humanity honestly cause pause contemplate aware reflect measure within sense dignity within family friends patient northside hospital past weeks every time place order subject mcdonalds toxic business model food transfer learned employees thank give order thank deliver order yet every visit wait witness employee behaviors readily display relay body language effort toward actual work obvious attitude toward guests front god forbid happen question reference menu employee response blank stare shrug look behind menu turn back around blank stare shrug god forbid separate occasion happen ask spoon napkin straw last night happen ask drink please receive salad wait long normal yikes think ask draw blood one detail regardless arrive pm pm mcdonalds always consistently filthy dirty filthy anyone lift broom sweep garbage service cooking area din room anyone clean crud surround plastic display case cookies already weeks crud still smear dried gross wash disinfect countertops payment pads straw holders everywhere spill occur include areas customers touch every hour get every single hour get clean employee employee nothing ocd employee need stop atrociously dirty disgust feed trough call restaurant ashamed northside hospital responsible allow restaurant wallow within walls many years ignore unhealthy food options mcdonalds supplies continue allow daily dose deliberate diligent unhealthy negative put upon attitudes employees deliver family friends employees care patients cause react act beyond world many options available place would go like today certainly long tomorrow toxic waste site dump daily dose negativity inhumanity seep reverberate within wall hospital know feel,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10111000,13,12,mcdonalds time always
34,['BadFood'],['1'],Atlanta,know need ask experience prove good idea tonight forget ask make sure coffee old drive check old cold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,2,10,coffee burn ice
35,['SlowService'],['1'],Atlanta,often eat mcdonald ever fact much expectation healthy foods one thing expect decent service fast food branch neither food really slow come ask thrice coffee ordered shock service delivery,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,2,4,food fast time
36,"['SlowService', 'Cost']","['1.0', '1.0']",Atlanta,little bite expensive mickey dee beggar choosy slow service packed open workers pretty nice many choices fill need,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,00010001,9,11,service bad customer
37,"['SlowService', 'OrderProblem']","['1.0', '0.6909']",Atlanta,mcdonald inside northside hospital option get something eat evidently proper cafeteria like hospitals complete disorganization two decent word come place huge rush people oddly enough evening staff clue orders wrong miss items wait time unbearable,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,10,9,place like would
38,"['Cost', 'MissingFood']","['1.0', '0.6761']",Atlanta,bad mcdonalds ever complete chaos price high average regular items like lattes fraps staff seem uninterested take complete order aware pretty much mercy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,00000011,10,12,mcdonalds time always
39,['BadFood'],['1'],Atlanta,still french fry champ burger taste sop much location fast friendly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,15,8,take fry mcwrap
40,['RudeService'],['0.6346'],Atlanta,beware saw manager fill order drive thru customers use bare hand gloves utensils pack fry weird thing ever fingering plastic cup lids know else call poke finger plastic cup lids slit make straws insert straws hell imagine finger gloves super long nails painted insert every cup lid insert straw need expose customers nail shit germs nails look filthy underneath use nail tool straw use go straw slit need finger nail filthy saw go inside poor folks drive thru see cashier bad cold wipe runny nose back hand expect manager filthy pollute food know hand,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,12,2,drive thru window
41,['SlowService'],['1'],Atlanta,bad mc donalds atlanta min stop every time even customers straight ridiculous live across street refuse stop nope never give anyone money location value appreciate manager every time common trend call regional pretend care either way thing give cold food min wait major headache crappy service skip stop,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,3,11,service bad customer
42,['OrderProblem'],['1'],Atlanta,freak nik cars drive thru everybody go mickey dees today guess volumes business like mean someone go get order wrong today put cheese steak biscuit request steak egg bagel request straw large soda guess check sandwich look miss straw expect much good mickey dee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,13,6,go time back
43,['BadFood'],['1'],Atlanta,enjoy couple eggwhite delight much else usually really like mcdonald salads quick relatively healthy option tight budget salads particular restaurant kind gross,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,11,1,mcdonald people time
44,"['Filthy', 'na', 'SlowService', 'ScaryMcDs', 'RudeService', 'OrderProblem', 'MissingFood', 'Cost', 'BadFood']","['1.0', '0.6717', '0.6717', '0.6717', '0.6717', '0.6717', '0.6717', '0.6717', '0.6717']",Atlanta,bad mcdonalds franchise visited fire complaints mcdonalds corp thinking might want something file rid lazy franchisee get lame apology months late w coupon food well dinner rush every table dirty floor sticky almost walk outta shoes surly staff plain dirty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11111111,12,12,mcdonalds time always
45,"['OrderProblem', 'RudeService']","['1.0', '0.7223']",Atlanta,go mcdonald several time get order completely wrong go work around hungry order bacon egg cheese biscuit get work find bag actually egg mcmuffin absolutely hate course late drive back get correct order dont expect happen elveru bisy mcdonalds dont stop srive thru check bag would like say happen blue moon fine mistake happen many times notice give order drive thru person take either never pay attention rude wish would change mcdonald seem constantly pack people morning high traffic road need reevaluate customer service,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000,4,5,get right work
46,['Filthy'],['1'],Atlanta,disgust mcdonalds planet doubt go nauseate cesspool find shock nice area playground far nasty mcdonald ever,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00100000,11,1,mcdonald people time
47,"['OrderProblem', 'SlowService']","['0.6839', '0.6418']",Atlanta,far bad mcdonald ever bf want chicken nuggets pieces get place order pieces take us minutes get charge twice amount tell cashier manager would fix problem never ask overall take long time get food receive wrong sauces overall poor experience return location,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,8,5,get right work
48,['RudeService'],['1'],Atlanta,food would expect mcdonald management staff could use coach customer service come restaurant frequently mornings manager always seem surly attitude act though big favor wait even take money,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,4,11,service bad customer
49,['OrderProblem'],['1'],Atlanta,wife mcdonalds time since rebuild whole new staff people work visit yet get complete order go inside restaurant even hop eliminate issue order quarter pounders apple pies hamburger give order go miss apple pies hamburger beware go mcdonalds check order,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,9,0,order time wrong
50,"['SlowService', 'BadFood']","['0.6909', '0.6545']",Atlanta,way curry honda schedule maintenance appointment go drive thru mcdonald since conveniently locate almost adjacent honda dealership around pm saturday afternoon probably two cars front think would quickly think would quick drive thru take ten minutes sure hold perhaps one cars front get large order order spicy mcchicken sandwich small fries cup ice water curry honda locate super close mcdonald food still hot least warm get however sit eat food wait room notice sandwich fry barely warm ice water almost completely melted guess food cook sit must keep cup ice water ready hand customers boo first time try spicy mcchicken sandwich think decent slight kick spice least little interest plain ol mcchicken sandwich overall mcdonald get star ok yes service could quicker food serve hotter mcdonald least employees friendly may return mcdonald way curry honda time grab food elsewhere would top choice fast food area review,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,00011000,2,4,food fast time
51,['OrderProblem'],['1'],Atlanta,purchase specialty coffee drive soon pull away realize give black coffee price mistake happen keep receipt go back exactly week late within hour since make trip go inside respect show face try scam manager work register tell happen would like specialty coffee originally ordered point week since original purchase need proof lie incorrect order mind people wait around order show slow poor service argue walk away leave receipt counter simply ask coffee even entire meal post sort things time different manager could easily offer variety resolutions say sorry well sorry never dissatisfy customer service let alone management restaurant please stay away location sake pocket sanity,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,11,10,coffee burn ice
52,['OrderProblem'],['1'],Atlanta,last time mcdonald screw order drive thru walk guy afro care think manager,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,5,2,drive thru window
53,"['OrderProblem', 'SlowService']","['0.6608', '0.6564']",Atlanta,generally good service morning drive thru pits initially cars back ordering seriously take minutes get food ordering repeat four time slowly still get drink size wrong get food great visit painful overall hope visit fluke,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,5,5,get right work
54,"['RudeService', 'Filthy']","['1.0', '1.0']",Atlanta,customer service horrible seem angry work would get upset ask ketchup condiments kid play area filthy old dirty food floor full lint stay away location,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10100000,3,11,service bad customer
55,['RudeService'],['1'],Atlanta,customer service well par place order intercom tell would pay separate transactions use coupon expect fine get window one girls work cashier problem use coupons quote mentioned give f wants never make goal difficult people find rude let alone unnecessary receive treatment part job duties simply put customer order like job business plenty job seekers would deserve position top leave restaurant open bag find receive everything order pay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,4,0,order time wrong
56,['Filthy'],['1'],Atlanta,food good fly nats always air mentoned management seem like nothing changed go mcdonald hudson bridge,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00100000,0,1,mcdonald people time
57,['Filthy'],['1'],Atlanta,fruit fly anyone huge fruit fly infestation twice months problem still exists,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00100000,15,8,take fry mcwrap
58,"['OrderProblem', 'BadFood']","['1.0', '1.0']",Atlanta,would honestly normally take time review mcdonald location since really fan breakfast place serious issues apparently difference sausage egg sausage egg cheese obvious important whoever bag orders even though two distinctly different items menu road least three time find give wrong biscuit even correct one receipt mention sweet tea often taste like hairspray never experience consistently poor service single fast food location,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01001000,9,11,service bad customer
59,['OrderProblem'],['1'],Atlanta,come quick go lunch first cheeseburgers right request onions cover second fry mushy fresh sorely disappoint,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,13,6,go time back
60,['BadFood'],['1'],Atlanta,first time go smother burger mustard ketchup drip past two time fry old dark put like one peice bacon burger offer free fry tomorrow ha horrible place eat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,6,6,go time back
61,['SlowService'],['1'],Atlanta,bad mcd ever try get quick snack long drive bad decision dual lane drive anything fast one car front somehow lane one moving odd minutes later finally ordered one cars front obviously know somebody place keep talk window would big deal continue long minutes sit line fight urge drive watch multiple level poor service finally get snack freak fry cold take minutes read review go would stop ever going would think time least food would hot ha favor find another mcd visit truly disappoint stop,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,13,7,one north avenue
62,"['SlowService', 'RudeService']","['1.0', '0.6246']",Atlanta,mcdonalds truly worst always extremely slow understaffed many workers rude obviously dont want food come decent always something everytime go probably never come location,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10010000,7,6,go time back
63,"['SlowService', 'RudeService']","['1.0', '0.6667']",Atlanta,bad drive thru ever car sit dual drive thru minutes car moved park go inside manager wait say drive thru moved says yeah drive thru system go done say would nice someone would walk tell everyone post sign walk away fill order leave one long bleach hairs freeze strawberry lemonades,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10010000,9,2,drive thru window
64,['ScaryMcDs'],['0.6607'],Atlanta,ashamed admit frequent mcdonald least twice week need snack pump gas need coffee chocolatte open chocolatte closed need night drinking breakfast yes please counts find mcdonald particularly slow bite sketch decatur standards although north decatur decatur proper often night folks look homeless though one one occasion anything particularly creepy disturbing happen regard say demographic patron otherwise lot emory students hospital workers high school students druid hill high like workers seem good camaraderie like folks remember standard order associate voice order go drive thru,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00000100,12,1,mcdonald people time
65,"['RudeService', 'BadFood']","['1.0', '1.0']",Atlanta,bad mcdonald ever visited sit drive thru window forever watch employees goof fish sandwich edible square process fish round bun much tartar sauce sort way french fry horrible edible stale greasy someone hold broom mean sweeping broom prop make people think work socialize co workers look occasionally continue goof employees seem go way prove worth time mcdonald really sucks,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10001000,13,1,mcdonald people time
66,"['OrderProblem', 'SlowService']","['1.0', '0.6667']",Atlanta,staff really nice kind slow location ask type sauce cashier look like saw ghost pale want well really chicken nuggets fee starve kids pass somewhere else drive thru would go option pull get count hand small bag small fry ask guy hand say ordered really show receipt say well fry finally get nasty taste nuggets high fructose corn syrup aka dip sauce way think stick meatless cheeseburgers next time,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,11,5,get right work
67,"['Filthy', 'RudeService']","['1.0', '0.6909']",Atlanta,oh goodness read review first mcdonald way stop far dirty mcdonald see long time staff unfriendly obviously bore job definitely even place quick meal,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10100000,8,1,mcdonald people time
68,"['RudeService', 'OrderProblem', 'SlowService']","['1.0', '1.0', '0.6667']",Atlanta,service mcdonald bad almost comical case point two week stretch would go mcdonald every morning work get ice vanilla latte every day kid get order wrong make hot latte instead would problem question every time sure ordered yes even show fancy digital menu would ask pull wait minutes order corrected bf go inside order get order wrong woman stand look us tell bf like guess eat late go ask sauce give us big eyeroll upon see us act like physically painful serve us couple examples horrible service guess typical mcdonald attach gas station,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11010000,14,1,mcdonald people time
69,"['SlowService', 'BadFood']","['1.0', '0.7084']",Atlanta,awful wait minutes small ice vanilla coffee unbelievable several customers shock slow make simple food nothing fancy mcdonald take long beyond always slow location matter drive thru walk another occasion drive thru get burger apple pies eat one pie something hard plastic like definitely sure apple pie crust disgusting ever come mcdonald keep get worse,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,00011000,7,2,drive thru window
70,['OrderProblem'],['0.6861'],Atlanta,unhappy order fish combo october drive person attempt hand meal state qt eat beef order however already pay meal card qt fish meal tell would refund qt charge fish meal check bank account weekend refund go back store speak manager starla tell refund take two days go tuesday oct payment go yesterday two meals purchase oct one eat take happy starla try make excuse yesterday oct holiday say holiday say columbus day never respect man recognize holiday bank inform starla yesterday bank holiday would call gm even state gm general manager would tomorrow work big inconvenience take time job get job really happy mcdonalds need train staff careful people money want money back get go every place use rate businesses really make know disapproval business,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01000000,1,6,go time back
71,['RudeService'],['1'],Atlanta,say mcdonald sucks get wrong love mcdonald particular location bad employees fast food,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,5,1,mcdonald people time
72,['BadFood'],['1'],Atlanta,location new strawberry creme pies healthscore drive thru cashier really nice fry far crispy good,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00001000,11,2,drive thru window
73,['RudeService'],['0.6673'],Atlanta,awful install equipment display drive thru order guest never used automate person tell order ever listen always repeat orders whoever build place waste ton money technology lousy job train use drive one much better grayson hwy absolute best breakfast go long way work stop new one issues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000,9,2,drive thru window
74,['SlowService'],['0.6757'],Atlanta,use stop mcdonalds way work breakfast main problem drive thru seem slow one one day yahoo work drivethru charge like tea know darn well suppose claim stop promotion well guess next day day hear ole advertisements hear years pitch tea soft drink yeah back burger king good sausage breakfast burritos anyhow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00010000,15,7,one north avenue
75,"['OrderProblem', 'SlowService']","['1.0', '0.6672']",Atlanta,go often service bad never leave right order sit line less mins run special give min timer get order end min get meal free doesnt count give wrong order yep give nuggets nugget box coke order burger hi c smh need windows one pay one pick last return wrong order pick correct one,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01010000,14,0,order time wrong
76,['Filthy'],['1'],Atlanta,dirty dirty dirty resturant dirty clean table available fairly new location sure good maintain hope somebody help staff location get together,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,00100000,0,5,get right work
